"SiteNo","SiteName","StreetAddress","CityStateZip","County","InspectionType","InspectionDate","PermitNo","NPDESNo","ComplaintTrackingNo","InspectionReason","SiteStatus","SiteCondition","RecommendedActions","ComplianceAssist","Latitude","Longitude","Type","EnforcementAction","EnforcementActionNo","EnforcementActionIssued","CaseClosed","Media","Program","EnfIssue","ResolvedDate","ViolationSNCDate","MarkerShape","MarkerSize","InspectionCount","Construction"
"144248","H.D. Myles Farm/Barclay (New Construction)","DF BX S201","Barclay,MD,21607","Queen Anne's","Sediment_Erosion",2019-11-04,"19-QA-0009",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1444814000365,-75.8640398003895,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"167097","Lywood Electric","Lot 6 Connector Dr","Federalsburg,MD,21632","Caroline","Sediment_Erosion",2020-03-03,"20-CO-0006","MDRCF04F4",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.693219999724,-75.7797599996723,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"159125","MDOT SHA-Bridge No 150153-MD 355 over Little Bennett Creek","MD 355, near Hyattstown Mill Rd, 39.279456, -77.314696","Clarksburg,MD,20871","Montgomery","NPDES Construction Activity",2021-03-15,NA,NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.2290535999692,-77.245123699574,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",4,16,1
"164193","Patuxent Woods Playground",", 461 Radford Lane","Lexington Park,MD,20653","St. Mary's","Sediment_Erosion",2019-12-11,"19-SM-0148",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2480204168312,-76.4833282790623,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,1
"166960","Alleged unauthorized pumping of sediment-ladened water from a construction site into a storm drain","Corner of Dalesford Road & Orlando Road","Parkville,MD,21234","Baltimore","Sediment_Erosion",2019-11-04,NA,NA,"20-2188",NA,"Active","Noncompliance","Continue Routine Investigation","N",39.3838300598323,-76.5618999383259,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,1
"159044","Delmarva Power and Light Co-Tanyard Substation","4307 Bethlehem Rd","Preston,MD,21655","Caroline","NPDES Construction Activity",2019-11-04,"17-NT-2121","MDRC",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.7270739996988,-75.9685709962931,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,1
"159406","Town of Leonardtown-Leonardtown Landing Floating Dock","22510 Washington St","Leonardtown,MD,20650","St. Mary's","Tidal Wetlands",2020-01-23,"17-PR-1152",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2863739820552,-76.6388100179444,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"166548","Bridge Street Mini Storage and Dollar General",", 655 North Bridge St","Elkton,MD,21921","Cecil","Sediment_Erosion",2019-11-04,NA,NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.6159270125235,-75.8384049849617,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"167052","Stoney Creek Drawbridge","Stoney Creek Drawbridge","Pasadena,MD,21122","Anne Arundel","NPDES Industrial Minor Surface Water",2019-11-05,NA,NA,"20-2185",NA,"Active - No work today","Satisfactory/Compliance","Close File","N",39.1489713380475,-76.5289939595624,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"163180","GV-Petro Joint Venture LLC-Tinkers Creek/TMDL Bay","Between Old Branch and Temple Hill Rds","Clinton,MD,20735","Prince George's","Nontidal Wetlands",2020-03-12,"18-NT-0353","MDRCQ04FZ",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.7673306326922,-76.9273574813859,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"166882","Deer Park Dollar General","Maryland Hwy, SR 135","Oakland,MD,21550","Garrett","Sediment_Erosion",2019-11-05,"TO BE DETERMINED","MDRCL04PS",NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.4271350369281,-79.2792549023523,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,1
"166132","Bradford Green",", Revolution Street/battery Avenue","Havre De Grace,MD,21078","Harford","Sediment_Erosion",2019-11-06,"20-HA-0004",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.5415979595891,-76.1027009711394,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"166011","Concord Point SWM Phase 3 Improvement",", Concord & Lafayette Sts","Havre De Grace,MD,21078","Harford","NPDES Construction Activity",2020-10-13,"20-HA-0005","MDRCM04L1",NA,NA,"Active - No work today","Additional Investigation Required","Additional Investigation Required","N",39.5407000599841,-76.0854599050302,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,7,1
"167056","13950 Monticello Drive PAF-20-3040","Mr. Fransisco Ortega, 13950 Montecello Drive","Cooksville,MD,21723","Howard","NPDES Industrial Minor Surface Water",2019-11-06,"N/A",NA,"20-3040",NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.3229989846784,-76.990244023986,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"167057","PAF 20-3042","BRUCE FRASER P ET AL, 24301 STRINGTOWN RD","Clarksburg,MD,20871","Montgomery","NPDES Construction Activity",2019-11-27,NA,NA,"PAF 20-3042",NA,"Complete","Satisfactory/Compliance","Close File","Y",39.2524379859884,-77.2502560245238,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,12,1
"158554","Gary and Martha Neeley","301 Houghton Lab Ln","Queenstown,MD,21658","Queen Anne's","Sediment_Erosion",2019-11-26,NA,NA,NA,NA,"Active","Noncompliance",NA,"N",38.9102490100851,-76.152716966185,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,1
"132732","MD SHA-Structure No 13005X0, US 1","US 1 over branch of Deep Run at MP 9.1","Jessup,MD,20794","Howard","Nontidal Wetlands",2019-11-06,"10-NT-0439",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1481211003189,-76.8141924003185,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"165780","CL DPW - 2165 Mayberry Rd","2165 Mayberry Rd","Westminster,MD,21158","Carroll","Waterway Construction",2019-11-07,"19-NT-3182",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.6340260139672,-77.1021560100293,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"165783","CL DPW - Beggs Rd","741 Beggs Rd","Westminster,MD,21157","Carroll","Waterway Construction",2019-11-07,"19-NT-3184",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.6242830154467,-76.9687529914368,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"159002","SeD Maryland Development LLC-Ballenger Run Apartments","5307 Ballenger Creek Pike","Frederick,MD,21703","Frederick","Waterway Construction",2019-11-07,"17-NT-3326","MDRCK03T6",NA,NA,"Active","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",39.3761700065477,-77.4438100108604,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,0
"165784","CL DPW - Tank Rd","1784 Tank Rd","Finksburg,MD,21048","Carroll","Waterway Construction",2020-07-22,"19-NT-3185",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.5284359947213,-76.8872839940908,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,0
"148135","MO DOT-County Bridge Painting","Various locations in Montgomery County","Gaithersburg,MD,20878","Montgomery","Nontidal Wetlands",2019-11-27,"15-NT-3170",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1200400003385,-77.2390799996324,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"167001","Thomas Property/5085 Pisgah Marbury Road, Marbury","5085 Pisgah Marbury Road","Marbury,MD,20658","Charles","Waterway Construction",2019-12-06,NA,NA,"20-2172",NA,"Complete","Satisfactory/Compliance","Close File","Y",38.5562420116918,-77.137000000712,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,3,0
"165845","Toyota Annex North","22500 Three Notch Rd","Lexington Park,MD,20653","St. Mary's","Sediment_Erosion",2020-02-28,"20-SM-0010","MDRCT04K7",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.2855689842656,-76.4744600081696,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,6,1
"165785","CL DPW - Sams Creek Rd at Dr Stitely Rd","Sams Creek Rd at Dr Stitley Rd","New Windsor,MD,21776","Carroll","Waterway Construction",2019-11-07,"19-NT-3186",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.4928400216903,-77.0970899034923,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"68764","Keller Bus Transportation","4472 Gallant Green Road","Waldorf,MD,20601-4325","Charles","NPDES Industrial Stormwater",2019-11-07,"12SR3195",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",38.5889590105937,-76.7927659656214,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"167055","Beech Street and Woodlawn Avenue","Beech St and Woodlawn Ave","Annapolis,MD,21401","Anne Arundel","NPDES Municipal Minor Surface Water",2019-11-07,NA,NA,"20-2193",NA,"Complete","Satisfactory/Compliance","Close File","N",38.9781500533982,-76.5095799307648,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"129989","SM DPW&T/FDR Blvd, Phase I","FDR Blvd","California,MD,20619","St. Mary's","Nontidal Wetlands",2019-11-08,"10-NT-0013",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.3012990335083,-76.5232268553884,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"144740","Brandon Kriebel","2300 Schuster Road","Jarrettsville,MD,21084","Harford","Waterway Construction",2020-06-03,NA,NA,"20-2196",NA,"Active - No work today","Satisfactory/Compliance","Refer to Others (See Findings)","N",39.5971240149003,-76.5089099654293,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2,5,0
"9620","United States Gypsum Company","5500 Quarantine Rd","Curtis Bay,MD,21226","Baltimore City","NPDES Industrial Minor Surface Water",2019-11-08,"17-DP-0221",NA,NA,NA,"Active","Noncompliance","Additional Investigation Required","N",39.2149990002873,-76.5531850215302,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,0
"22937","Bloomington WWTP","121 Owens Ave","Bloomington,MD,21523","Garrett","NPDES Municipal Minor Surface Water",2019-11-08,"14-DP-2175",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.4768310057779,-79.0693419982105,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"126480","Richard Impallaria","1923 Old Eastern Ave","Essex,MD,21221-1436","Baltimore","NPDES Industrial Minor Surface Water",2019-11-08,NA,NA,"20-2187",NA,"Active","Satisfactory/Compliance","Additional Investigation Required","N",39.3255169917485,-76.4440069610361,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"7292","TRICE PROPERTY","312 Bloomingdale Ave","Federalsburg,MD,21632","Caroline","Sediment_Erosion",2019-11-08,"18-NT-2040,19-CO-0013",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.6967660016618,-75.7844009695179,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"23441","Kitzmiller WWTP","202 East Main Street","Kitzmiller,MD,21538","Garrett","NPDES Municipal Minor Surface Water",2019-11-08,"14-DP-2176",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.394083013575,-79.1818370295008,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"80917","Ashley Addiction Treatment","800 Tydings Lane","Havre De Grace,MD,21078","Harford","NPDES Construction Activity",2020-07-01,"18-NT-0371,WL-18-1179","MDRCM04DG",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.5038410179556,-76.1269759743822,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",3,8,1
"165952","Royal Farms # 355 Federalsburg","331 Bloomingdale Ave","Federalsburg,MD,21631","Caroline","Sediment_Erosion",2020-03-03,"20-CO-0001","MDRCF04AU",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.6974777949257,-75.7841331601721,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"165653","Gene R. Cartwright FHO",", 39240 Cooney Neck Road","Mechanicsville,MD,20659","St. Mary's","Sediment_Erosion",2019-11-08,"20-SM-0001",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.4776350148183,-76.7190669930377,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"105789","James and Janet Clausen and Diane Lawrence","301 & 303 Kyle Road","Crownsville,MD,21032","Anne Arundel","Tidal Wetlands",2020-12-15,NA,NA,NA,NA,"Active - No work today","UNKNOWN","Continue Routine Inspection","N",39.0525430048659,-76.5629623380832,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,5,1
"439","Curtis Bay Energy, LP","3200 Hawkins Point Road","Baltimore,MD,21226","Baltimore City","NPDES Industrial Stormwater",2021-01-07,NA,NA,NA,NA,"Active","UNKNOWN","Continue Routine Inspection","N",39.2028130118857,-76.5559699929471,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,7,0
"141448","HO DPW-Bridge No HO-106-Pindell School Road","Pindell School Rd, 1500 ft from MD 216","Fulton,MD,20759","Howard","Nontidal Wetlands",2019-11-12,"17-NT-3329",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",39.1707591712846,-76.9166565637702,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"164372","Haven Harbour South","21140 Green Ln","Rock Hall,MD,21661","Kent","Tidal Wetlands",2019-11-13,"19-WL-0349",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.1317009875578,-76.2414270063552,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"167069","K9 Koncepts - Alleged discharge of dog feces and chemical from Kennels (PAF# 20-2190)","4520 North Point Boulevard","Sparrows Point,MD,21219","Baltimore","NPDES Industrial Minor Surface Water",2019-11-13,NA,NA,"20-2190",NA,"Active","Satisfactory/Compliance","Close File","N",39.2520980160498,-76.4600129595122,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"111181","Real Investments LLC","38923 Burch Rd","Avenue,MD,20609","St. Mary's","Tidal Wetlands",2019-11-13,"18-WL-0953",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.2622470090394,-76.7303630319527,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"161633","Northern LLP-Bush Creek","11928 East Baldwin Rd","Monrovia,MD,21770","Frederick","Nontidal Wetlands",2020-06-19,"18-NT-3362","MDRCK04EQ",NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",39.3776800059354,-77.2504850185644,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,12,1
"147120","James Macaulay","16200 Bradburn Lane","Ridge,MD,20680","St. Mary's","Tidal Wetlands",2019-11-13,"18-PR-0899",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.1122029799353,-76.3433409741533,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"167000","James Insley","4781 Hatcrown Point Dr","Tyaskin,MD,21865","Wicomico","Tidal Wetlands",2019-11-13,NA,NA,"20-4049",NA,"Active - No work today","Noncompliance","Continue Routine Inspection","N",38.327355998403,-75.8793779912834,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,1
"149415","Wildewood Retirement Village","Wetstone Dr","California,MD,20619","St. Mary's","NPDES Construction Activity",2019-11-14,"09-SM-0189","MDRCT0198",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.3023739997459,-76.5514073148717,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"23344","Whiteford Highway Maintenance Facility","1405 Pylesville Rd","Whiteford,MD,21160","Harford","NPDES Industrial Stormwater",2019-11-14,"12-SW-1847",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.7105900058529,-76.3527820153628,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"31307","Patuxent Materials, Inc. - Vulcan Materials-Brooklyn Yard","500 Frankfurst Ave","Curtis Bay,MD,21226","Baltimore City","Waterway Construction",2019-11-14,"NO PERMIT",NA,NA,NA,"Active - No work today","Additional Investigation Required","Additional Investigation Required,Refer to Others (See Findings)","N",39.2420898732637,-76.6007269008748,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,0
"85642","Jason Sakowski","351 Valley Stream Road","Severna Park,MD,21146","Anne Arundel","Tidal Wetlands",2019-11-14,"16-GL-0118",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.0970330166211,-76.5421810078461,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"88907","CVS Pharmacy #6858","9820 Belair Rd","Perry Hall,MD,21128","Baltimore","NPDES Municipal Minor Surface Water",2019-11-26,NA,NA,"20-2204",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.4193580140696,-76.4568539880016,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,0
"161757","MD SHA - Israel Creek at MD 550 - TMDL Bay Trust Fund Project","1 Council Drive","Woodsboro,MD,21798","Frederick","Waterway Construction",2021-02-24,NA,NA,NA,NA,"Active - No work today","UNKNOWN","Additional Investigation Required,Continue Routine Inspection","N",39.5314370096921,-77.3101329881399,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,12,0
"150318","Fitzwater Street Lift Station Replacement","Fitzwater St","Salisbury,MD,21801","Wicomico","Sediment_Erosion",2020-03-02,"20-WI-0019","MDRCW01UQ",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.3636936229713,-75.6109832161449,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",3,8,1
"167099","10560 Guilford Road, LLC","10560 Guilford Road","Jessup,MD,20794","Howard","Nontidal Wetlands",2021-01-22,NA,NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",39.1359809969029,-76.8053740245516,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",3,8,1
"167002","PAF 20-3044/West Side Dr Water Main Break","West Side Drive","Gaithersburg,MD,20878","Montgomery","Sediment_Erosion",2020-03-06,NA,NA,"20-3044",NA,"Complete","Satisfactory/Compliance","Refer to Others (See Findings)","N",39.1268621905149,-77.205600748394,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,15,1
"23061","Potomac Airfield","10300 Glen Way","Fort Washington,MD,20744","Prince George's","NPDES Industrial Stormwater",2019-11-14,"12SR0161",NA,NA,NA,"Active","Additional Investigation Required","Continue Routine Inspection","N",38.7491190331491,-76.9565154974428,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,0
"162726","MD SHA - Israel Creek at Stauffer Rd/TMDL Bay Trust Fund Project","Stauffer Rd Crossing of Israel Creek","Walkersville,MD,21793","Frederick","Nontidal Wetlands",2020-12-09,NA,NA,NA,NA,"Active","UNKNOWN",NA,"N",39.4676785189347,-77.3432603486203,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",3,9,1
"151061","Chesapeake Real Estate Group-Chesapeake's Brandon Woods III","7599 Perryman Court","Glen Burnie,MD,21060","Anne Arundel","Nontidal Wetlands",2020-02-05,"17-NT-0311","MDRCB039U",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.1736517537973,-76.5492725772952,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,6,1
"162768","University of Maryland School of Public Policy","38.9848, -76.9395, University of Maryland College Park, School of Public Policy","College Park,MD,20742","Prince George's","NPDES Construction Activity",2021-03-12,NA,NA,NA,NA,"Active","Noncompliance","Additional Investigation Required","N",38.9871185002674,-76.9401857003242,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",3,8,1
"31143","Rusty Scupper - Key Highway","402 Key Hwy","Baltimore,MD,21230","Baltimore City","NPDES Industrial Minor Surface Water",2019-11-15,NA,NA,"20-2203",NA,"Active","Satisfactory/Compliance","Close File","N",39.2809440506408,-76.6074399076868,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"9414","Amtrak","644 Patuxent Rd","Odenton,MD,21113","Anne Arundel","NPDES Industrial Stormwater",2019-11-15,"12SR1164",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.0586561231991,-76.7330533236336,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"165929","Columbia Gas of Maryland-Fort Cumberland","129 W. Oldtown Road","Cumberland,MD,21502","Allegany","Sediment_Erosion",2020-01-22,"20-AL-0005",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",39.6407172085803,-78.7621180389893,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"166999","M-Scrap","2501 Wilkens Ave","Baltimore City,MD,21223","Baltimore City","NPDES Industrial Stormwater",2019-11-15,NA,NA,"20-2206",NA,"Active","Satisfactory/Compliance","Close File","N",39.27925822242,-76.6547487712333,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"162192","Mapes Road 16-inch Waterline Replacement","39.10, -76.73, Ft Meade , (parallel to Mapes Rd, starting from Ernie Pyles Dr intersection, heading east)","Fort George G. Meade,MD,20755","Anne Arundel","State_federal SWM",2019-11-15,"19-SF-0022",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",NA,NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"167070","Alleged sewer discharge from broken pipe (PAF 20-2205)","Marine Oaks Village","Essex,MD,21221","Baltimore","NPDES Municipal Minor Surface Water",2019-11-15,NA,NA,"20-2205",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.3137236209615,-76.4439862171396,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"167303","Alleged sewer discharge from broken pipe (PAF 20-2205)","Marine Oaks Village","Essex,MD,21221","Baltimore","NPDES Municipal Minor Surface Water",2019-12-06,NA,NA,"20-2205",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.3137236209615,-76.4439862171396,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,0
"167304","Unauthorized wetlands clearence (PAF# 20-2208)","0.45 miles from the intersection of MD Route 158 & MD Route 157","Sparrows Point,MD,21219","Baltimore","Nontidal Wetlands",2020-02-27,NA,NA,"20-2208",NA,"Active - No work today","Noncompliance","Additional Investigation Required","N",39.2361800276714,-76.4733799160928,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,1
"160219","Fort Meade DPW-Mapes Road ACP","Mapes Rd appx 0.47 miles W of Annapolis Rd and Mapes Rd W side of interestion","Fort Meade,MD,20755","Anne Arundel","State_federal SWM",2019-11-15,"18-SF-0013",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.1050300232974,-76.7223298996268,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"163795","City of Bowie - Bridge No WMP1","100 White Marsh Park Dr","Bowie,MD,20715","Prince George's","Nontidal Wetlands",2019-11-15,"19-NT-0014",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.9765358366361,-76.7170514340516,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"165872","Airport Midfield Hangar Project",", 44170 Airport Loop Rd","California,MD,20619","St. Mary's","Sediment_Erosion",2019-11-18,"20-SM-0021","MDRCT00HH",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.3135809998898,-76.5513496286575,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"96562","Do Highway Dept/hall Rd Widening","HALL ROAD ON TAYLOR ISLAND","Taylors Island,MD,21669","Dorchester","Nontidal Wetlands",2019-11-18,NA,NA,"20-4045",NA,"Inactive","Satisfactory/Compliance","Close File","N",38.472305786432,-76.3010456710896,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"156897","Swan Creek Wastewater Pumping Station Upgrades","Swan Creek, 38.719921, -77.01342","Fort Washington,MD,20744","Prince George's","State_federal SWM",2020-01-29,"17-SF-0170",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.7249116877013,-77.0055021633101,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,0
"166150","Patel Residence",", 8914 Canter Lane","Hebron,MD,21830","Wicomico","Sediment_Erosion",2020-02-11,"20-WI-0008","MDRCW04SD",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.4386940609723,-75.7100662187835,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,5,1
"25990","Cambridge Citgo","2903 Ocean Gateway","Cambridge,MD,21613","Dorchester","NPDES Industrial Minor Surface Water",2019-11-18,NA,NA,"20-4051",NA,"Active","Satisfactory/Compliance","Close File","N",38.5529669926493,-76.042464010368,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"166067","Dunkin Donuts Belle Hill and Warner Rd",", Belle Hil and Warner Rd","Elkton,MD,21921","Cecil","NPDES Construction Activity",2020-07-08,"20-CE-0014","MDRCH04PX",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.6351000293278,-75.8053398858154,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",3,8,1
"167068","Matson/Zawatski Property","19228 Shepherdstown Pike","Keedysville,MD,21756","Washington","Waterway Construction",2019-11-19,NA,NA,"19-1109",NA,"Complete","Satisfactory/Compliance","Close File","N",39.489897009647,-77.7062309704949,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"165581","8418 Country Home Ln,/Jeffrey Warren","8418 Country Home Lane","Boonsboro,MD,21713","Washington","Sediment_Erosion",2019-12-06,"19-WA-0135",NA,NA,NA,"Complete","Noncompliance","Continue Routine Inspection","N",39.5456499928713,-77.7309200342017,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,1
"127670","Ryan Davidson and Joyce Dabal","206 Chenowith Dr","Stevensville,MD,21666","Queen Anne's","Tidal Wetlands",2020-09-23,NA,NA,NA,NA,"Active - No work today","Noncompliance","Continue Routine Inspection","N",38.9684229807352,-76.3353390232491,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,1
"167098","680 Angel Drive","680 Angel Drive","Abingdon,MD,21009","Harford","NPDES Municipal Major Surface Water",2019-11-20,NA,NA,"20-2207",NA,"Active","Additional Investigation Required","Additional Investigation Required","N",39.4601000141085,-76.2506900149501,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,0
