"SiteNo","SiteName","StreetAddress","CityStateZip","County","InspectionType","InspectionDate","PermitNo","NPDESNo","ComplaintTrackingNo","InspectionReason","SiteStatus","SiteCondition","RecommendedActions","ComplianceAssist","Latitude","Longitude","Type","EnforcementAction","EnforcementActionNo","EnforcementActionIssued","CaseClosed","Media","Program","EnfIssue","ResolvedDate","ViolationSNCDate","MarkerShape","MarkerSize","InspectionCount","Construction"
"155379","Berlin Police Department","129 Decatur St","Berlin,MD,21811","Worcester","Sediment_Erosion",2018-04-24,"17-WO-0019","MDRCX02S9",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.3179364112908,-75.2131032215063,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",3,8,1
"79115","Valerie Nyce","12285 Nyce Manor Place","Mount Victoria,MD,20661","Charles","Tidal Wetlands",2020-01-07,"15-PR-0913",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Close File","N",38.3467170999396,-76.893294200347,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,3,1
"156969","Nelson Mills-Comer Middle River","500C Earls Rd","Middle River,MD,21220","Baltimore","NPDES Industrial Stormwater",2019-05-09,"12SW3368",NA,"17-2403",NA,"Active","Noncompliance","Additional Investigation Required","N",39.359277219224,-76.3928055473449,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,8,0
"149019","Gehman Utility Barns","41010 Bishop rd","Mechanicsville,MD,20659","St. Mary's","Sediment_Erosion",2017-09-21,"15-SM-0073",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.3683880131895,-76.6572210364048,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"23551","GenOn MD Ash Management LLC-Faulkner Flyash Management Site","10200 Faulkner Road","Faulkner,MD,20664","Charles","NPDES Construction Activity",2019-12-26,NA,"MDRCI002A",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.4335245899878,-76.9706833973206,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,9,1
"18443","Dorsey Run Advanced WWTP","7938 Brock Bridge Road","Jessup,MD,20794","Anne Arundel","NPDES Municipal Major Surface Water",2021-02-17,NA,NA,NA,NA,"Active","UNKNOWN","Continue Routine Inspection","N",39.1341510176671,-76.7768659988915,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,4,0
"20890","Georgetown Paper Stock","1404 Benson Ct","Baltimore,MD,21227","Baltimore","NPDES Industrial Stormwater",2020-01-06,"12-SW-1054",NA,NA,NA,"Active","Noncompliance","Continue Routine Investigation","N",39.2562149976398,-76.6892180296952,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",3,8,0
"156737","Wye Landing Public Boat Ramp","Wye Landing Lane","Wye Mills,MD,21679","Talbot","NPDES Industrial Minor Surface Water",2017-04-05,NA,NA,"PAF 17-4204",NA,"Active - No work today","Satisfactory/Compliance","Close File","N",38.9051646419127,-76.0888305789107,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"156421","Baldus Retail Center","6700 Crain Highway","La Plata,MD,20646","Charles","Sediment_Erosion",2019-09-26,"17-CH-0020",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.5284029873985,-76.9817580176877,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,18,1
"156771","Walker Avenue SSO to Chinquapin Run","Walker Ave between Northwood Dr and Chinquapin Pkwy","Baltimore,MD,21212","Baltimore","NPDES Municipal Minor Surface Water",2017-04-05,NA,NA,"17-2429",NA,"Active","Noncompliance","Additional Investigation Required","N",39.3560350405102,-76.5957399026767,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"101793","Annis, George H/boatlift","12140 South Piney Point Rd","Bishopville,MD,21813","Worcester","Tidal Wetlands",2017-04-05,NA,NA,"17-4185",NA,"Inactive","Satisfactory/Compliance",NA,"N",38.4133699996513,-75.1846799887242,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"19228","Waco Products, Inc.","1330 Knecht Ave","Baltimore,MD,21229","Baltimore","NPDES Industrial Stormwater",2017-04-05,"12SW0876A",NA,NA,NA,"Active","Noncompliance","Additional Investigation Required","N",39.2616880026882,-76.6858009793899,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"120023","Robert Young","1572 Shell Road","Pasadena,MD,21122","Anne Arundel","Tidal Wetlands",2017-04-05,"16-PR-0956(R1)",NA,NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",39.1497699819733,-76.4955040327452,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"156666","PAF 17-3092/Stream Grading at Wye Oak and Chesunt Oak","SW Quadrant, Intersection of Wye Oak Dr and Chesnut Oak Dr","Gaithersburg,MD,20878","Montgomery","Waterway Construction",2017-04-05,NA,NA,"17-3092",NA,"Active - No work today","Noncompliance","Continue Routine Investigation,Refer to Others (See Findings)","N",39.1079600432296,-77.2742299439244,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"103170","John Carbone","874 Seneca Park Rd","Middle River,MD,21220","Baltimore","Tidal Wetlands",2017-12-01,"08-PR-0827",NA,NA,NA,"Active","Noncompliance","Additional Investigation Required,Refer to Others (See Findings)","N",39.3205339921638,-76.3744189756366,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,4,1
"154991","Phase I Clearing & Rough Grading Plan for Sand Spring Run Subdivision - Phase II","Braddock Street Extended","Frostburg,MD,21532","Allegany","Sediment_Erosion",2017-04-05,"17-AL-0021","MDRCA02S8",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","Y",39.6464997534961,-78.9315399835707,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"3076","Patapsco WWTP","3501 Asiatic Ave","Curtis Bay,MD,21226","Baltimore City","NPDES Municipal Major Surface Water",2020-06-11,"15DP0580",NA,"20-2439",NA,"Active","Noncompliance","Close File","N",39.2332500075321,-76.5630800263685,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,8,0
"125278","Cedar Square Homes-Greenhaven","SE OF LAKELAND AVE & 208TH ST","Pasadena,MD,21122","Anne Arundel","Nontidal Wetlands",2017-04-06,"12-NT-0277","MDRCB01L5",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1409775340764,-76.5390167569365,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"158151","Boucher Avenue and President Street","Boucher Avenue and President Street","Annapolis,MD,21403","Anne Arundel","NPDES Municipal Minor Surface Water",2017-04-06,NA,NA,"17-2369",NA,"Complete","Satisfactory/Compliance","Close File","N",38.9687200350779,-76.4936699047004,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"128272","Church Creek LLC-Harold L Whitely Subdiv","Canvasback Dr, Lots 1 and 2","Church Creek,MD,21622","Dorchester","Nontidal Wetlands",2017-07-21,"13-NT-2101",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",38.5129867752939,-76.1440558288304,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"156804","PAF 17-3091","Four Quarter Road","Ellicott City,MD,21043","Howard","Nontidal Wetlands",2017-04-06,NA,NA,"PAF 17-3091",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.2528243257632,-76.7860191120861,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"156971","Kelleys Carpet & Tile Showroom","8513 Fort Smallwood Rd","Pasadena,MD,21122","Anne Arundel","NPDES Industrial Stormwater",2017-05-05,NA,"MDU172411","17-2411",NA,"Active","Satisfactory/Compliance","Close File","N",39.1563069859644,-76.5165450407781,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,0
"152504","Mixed Use Development - 500 Park Avenue","500 Park Ave","Baltimore City,MD,21215","Baltimore City","NPDES Industrial Minor Surface Water",2017-04-17,NA,NA,"17-2430",NA,"Active","Satisfactory/Compliance","Close File","N",39.2950652363069,-76.6182992647624,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,0
"157002","MARVACO INDUSTRIAL PARK/WASHINGTONGATEWAY LOGISTIC CENTER","Near 5700 Sheriff Road","Capitol Heights,MD,20743","Prince George's","NPDES Construction Activity",2017-04-13,NA,"MDRCQ00MT","PAF 17-3093",NA,"Active","Additional Investigation Required","Additional Investigation Required","N",38.9062334540622,-76.9082489004461,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2,4,1
"143857","1211 Lake Ridge Drive / Thomas Joseph Cable","1211 Lake Ridge Drive","Sunderland,MD,20689","Calvert","Nontidal Wetlands",2017-10-24,NA,NA,"14-2356",NA,"Complete","Noncompliance","Additional Investigation Required","N",38.6580769803924,-76.5750460315174,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,5,1
