Site No,Site Name,Street Address,City,State,Zip,County,Inspection Type,Inspection Date,Permit No,NPDES No,Complaint Tracking No,Inspection Reason,Site Status,Site Condition,Recommended Actions,Compliance Assist?,ObjectId
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,NPDES Construction Activity,5/11/2018 12:00:00 AM,17NT0281,MDRCH03FC,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,201
137915,CH Govt-St Charles Parkway and Billingsley Road,"Billingsley Road and St. Charles Parkway, 1.5 acres at southeast corner of Billngsley Road and St. Charles Parkway",Saint Charles,MD,20602,Charles,Nontidal Wetlands,5/23/2018 12:00:00 AM,13-NT-0267,,,,Complete,Satisfactory/Compliance,Close File,N,202
137915,CH Govt-St Charles Parkway and Billingsley Road,"Billingsley Road and St. Charles Parkway, 1.5 acres at southeast corner of Billngsley Road and St. Charles Parkway",Saint Charles,MD,20602,Charles,Waterway Construction,5/23/2018 12:00:00 AM,13-NT-0267,,,,Complete,Satisfactory/Compliance,Close File,N,203
154751,MO DPW-Mountain View Road,"11206 Mountain View Rd, 39.281162 -77.228750, Mountain View Rd approx 180 feet NW of the intersection of Mountain View Rd and Kings Valley Rd",Damascus,MD,20872,Montgomery,Waterway Construction,5/23/2018 12:00:00 AM,16-NT-3356,,,,Complete,Satisfactory/Compliance,Close File,N,204
157268,NIBC Hazardous Materials Storage,"First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St",Fort Detrick,MD,20875,Frederick,State_federal SWM,5/24/2018 12:00:00 AM,17-SF-0024,MDRCK02QS,,,Active,Noncompliance,Continue Routine Inspection,N,205
157268,NIBC Hazardous Materials Storage,"First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St",Fort Detrick,MD,20875,Frederick,NPDES Construction Activity,5/24/2018 12:00:00 AM,17-SF-0024,MDRCK02QS,,,Active,Noncompliance,Continue Routine Inspection,N,206
142034,East Campus Visitor Control Point - M,"Applewood and Parks Golf Courses at Fort George G Meade,, off of Rockenbach Rd, 39.1113708 -76.7538287",Fort George G. Meade,MD,20755,Anne Arundel,State_federal SWM,5/30/2018 12:00:00 AM,14-SF-0063,MDRCBF03M,,,Active,Noncompliance,Continue Routine Inspection,N,207
142034,East Campus Visitor Control Point - M,"Applewood and Parks Golf Courses at Fort George G Meade,, off of Rockenbach Rd, 39.1113708 -76.7538287",Fort George G. Meade,MD,20755,Anne Arundel,NPDES Construction Activity,5/30/2018 12:00:00 AM,14-SF-0063,MDRCBF03M,,,Active,Noncompliance,Continue Routine Inspection,N,208
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,6/6/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Active - No work today,Satisfactory/Compliance,,N,209
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,6/6/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Active - No work today,Satisfactory/Compliance,,N,210
139866,BGE-Westport to Wilkens,"Gwynns Falls north of Washington Blvd, south of Wilkens Ave, West on WIlkens, left on S.Dukeland, left on Wilmarco Av,. Site is on left of the Trail 100 yds past, railway bridge",Baltimore,MD,21201,Baltimore City,NPDES Construction Activity,6/21/2018 12:00:00 AM,13-NT-0095,MDRCD01V1,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,211
139866,BGE-Westport to Wilkens,"Gwynns Falls north of Washington Blvd, south of Wilkens Ave, West on WIlkens, left on S.Dukeland, left on Wilmarco Av,. Site is on left of the Trail 100 yds past, railway bridge",Baltimore,MD,21201,Baltimore City,Waterway Construction,6/21/2018 12:00:00 AM,13-NT-0095,MDRCD01V1,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,212
153428,PG-E Little Paint Branch Trail Extension,"Current terminus of Little Paint Branch Trail at Cherry Hill Rd near the, intersection of Park Dr in College Park, MD to the existing Little Paint, Branch Trail at the Beltsville Community Center in Beltsville, MD",College Park & Beltsville,MD,20705,Prince George's,NPDES Construction Activity,6/21/2018 12:00:00 AM,,MDRCQ02JJ,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,213
161843,Herbert Run at Hollins Ferry Rd,,,,,Not Yet Determined,NPDES Municipal Minor Surface Water,7/3/2018 12:00:00 AM,,,19-2003,,Active - No work today,Additional Investigation Required,Additional Investigation Required,N,214
161843,Herbert Run at Hollins Ferry Rd,,,,,Not Yet Determined,NPDES Municipal Minor Surface Water,7/6/2018 12:00:00 AM,,,19-2003,,Active - No work today,Additional Investigation Required,Additional Investigation Required,N,215
161843,Herbert Run at Hollins Ferry Rd,,,,,Not Yet Determined,NPDES Municipal Minor Surface Water,7/10/2018 12:00:00 AM,,,19-2003,,Active - No work today,Additional Investigation Required,Additional Investigation Required,N,216
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,7/16/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,217
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,7/16/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,218
157268,NIBC Hazardous Materials Storage,"First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St",Fort Detrick,MD,20875,Frederick,State_federal SWM,7/17/2018 12:00:00 AM,17-SF-0024,MDRCK02QS,,,Active,Noncompliance,Continue Routine Inspection,N,219
157268,NIBC Hazardous Materials Storage,"First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St",Fort Detrick,MD,20875,Frederick,NPDES Construction Activity,7/17/2018 12:00:00 AM,17-SF-0024,MDRCK02QS,,,Active,Noncompliance,Continue Routine Inspection,N,220
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,7/18/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,221
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,7/18/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,222
161843,Herbert Run at Hollins Ferry Rd,,,,,Not Yet Determined,NPDES Municipal Minor Surface Water,7/18/2018 12:00:00 AM,,,19-2003,,Active - No work today,Corrective Actions Required,Close File,Y,223
152348,Bowman Oakridge Mills,"situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School",Hagerstown,MD,21740,Washington,NPDES Construction Activity,7/23/2018 12:00:00 AM,16-WA-0116,MDRCV02CF,,,Complete,Satisfactory/Compliance,Close File,N,224
152348,Bowman Oakridge Mills,"situate along the E side of MD Rte 63, N of the intersection with Oakridge Dr,, across from E. Russel Hicks Middle School",Hagerstown,MD,21740,Washington,Sediment_Erosion,7/23/2018 12:00:00 AM,16-WA-0116,MDRCV02CF,,,Complete,Satisfactory/Compliance,Close File,N,225
159200,F-16 Crash Site Remediation,"38.7592,-76.9266",,,,Not Yet Determined,State_federal SWM,7/27/2018 12:00:00 AM,18-SF-0059,,,,Active - No work today,Noncompliance,Continue Routine Inspection,N,226
157268,NIBC Hazardous Materials Storage,"First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St",Fort Detrick,MD,20875,Frederick,State_federal SWM,8/1/2018 12:00:00 AM,17-SF-0024,MDRCK02QS,,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,227
157268,NIBC Hazardous Materials Storage,"First area is located NW of the intersection of Campus Dr and Veterans Dr, Second Area is located on either side of Beasley Dr between Miller Dr and Hamilton St",Fort Detrick,MD,20875,Frederick,NPDES Construction Activity,8/1/2018 12:00:00 AM,17-SF-0024,MDRCK02QS,,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,228
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,Waterway Construction,8/16/2018 12:00:00 AM,"12-SF-0198,17-NT-3188",MDRCYS081,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,229
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,State_federal SWM,8/16/2018 12:00:00 AM,"12-SF-0198,17-NT-3188",MDRCYS081,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,230
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,Nontidal Wetlands,8/16/2018 12:00:00 AM,"12-SF-0198,17-NT-3188",MDRCYS081,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,231
